Action,Group,KeepRegion,KeepName,KeepLatitude,KeepLongitude,DeleteRegion,DeleteName,DeleteLatitude,DeleteLongitude,CoordinateDistanceKm,EditDistance,Comment
review,1,Tver',Akademicheskaya,57.718300,34.343600,Tver',Akademicheskiy,57.711100,34.316400,1.803,2,
review,2,Krasnoyarskiy Kray,Alban,56.676100,96.061100,Krasnoyarskiy Kray,Aban,56.678700,96.065800,0.407,1,
review,3,Vladimir,Alexandrov,56.395200,38.712200,Vladimir,Aleksandrow,56.400000,38.716700,0.601,1,
review,4,Permskiy Kray,Almaz1,56.424300,56.648900,Permskiy Kray,Almas,56.424300,56.648900,0.000,1,
review,5,Bashkortostan,Amirova,53.350000,55.200000,Bashkortostan,Amirovo,53.341900,55.203800,0.935,1,
review,6,Primor'ye,Artëm,43.359500,132.188900,Primor'ye,Artem,43.367500,132.198600,1.186,1,
review,7,Primor'ye,Artëmovskiy,43.369800,132.319600,Primor'ye,Artemovskiy,43.371400,132.320800,0.203,1,
review,8,Novgorod,Artëmovskoye,58.741700,33.502600,Novgorod,Artemovskoye,58.750000,33.500000,0.935,1,
review,9,Novosibirsk,Barskiy,54.216700,77.416700,Novosibirsk,Barskaya,54.232800,77.417800,1.792,2,
review,10,Krasnoyarskiy Kray,Baykit,61.676900,96.379200,Krasnoyarskiy Kray,Baikit,61.676900,96.379200,0.000,1,
review,11,Buryat,Beloozersk,50.645600,105.711900,Buryat,Belozërsk,50.650500,105.712400,0.546,2,
review,12,Vologda,Belozersk,60.033300,37.800000,Vologda,Belozërsk,60.032600,37.795700,0.251,1,
review,13,Saratov,Berëzovo,51.924800,48.471600,Saratov,Berezovo,51.933300,48.466700,1.003,1,
review,14,Yevrey,Birobijan,48.792800,132.923900,Yevrey,Birobidzhan,48.800000,132.950000,2.073,1,
review,15,Smolensk,Bogdanov,54.227900,33.166000,Smolensk,Bogdanova,54.239800,33.156200,1.469,1,
review,16,Moskva,Bolshëvo,55.934900,37.830000,Moskva,Bolshevo,55.929700,37.850300,1.390,1,
review,17,Volgograd,Borovkov,49.400000,44.033300,Volgograd,Borovki,49.401200,44.031500,0.186,2,
review,18,Novosibirsk,Buranova,54.206900,83.888900,Novosibirsk,Buranovo,54.204500,83.900800,0.819,1,
review,19,Moscow City,Butova,55.540000,37.573100,Moscow City,Butovo,55.543600,37.587900,1.014,1,
review,20,Vologda,Chaika,60.017000,38.107000,Vologda,Chayka,60.018100,38.113000,0.355,1,
review,21,Permskiy Kray,Chaykovskiy1,56.768600,54.114800,Permskiy Kray,Chaykovskiy,56.768600,54.114800,0.000,1,
review,22,Chelyabinsk,Chelyabinsk-40,55.755600,60.702800,Chelyabinsk,Ozersk,55.763300,60.708400,0.925,1,
review,23,Moskva,Chepelëvo,55.183600,37.492800,Moskva,Chepelevo,55.178600,37.497500,0.631,1,
review,24,Permskiy Kray,Cherdyn1,60.402900,56.478700,Permskiy Kray,Cherdyn,60.402900,56.478700,0.000,1,
review,25,Permskiy Kray,Chernushka1,56.507200,56.076600,Permskiy Kray,Chernushka,56.507200,56.076600,0.000,1,
review,26,Permskiy Kray,Chusovoy1,58.301300,57.813100,Permskiy Kray,Chusovaya,58.301300,57.813100,0.000,1,
review,27,Moskva,Chërnoye,55.746100,38.068900,Moskva,Chernoye,55.750000,38.066700,0.455,1,
review,28,Vologda,Delo,59.833300,35.800000,Vologda,Trio,59.833300,35.833300,1.861,3,
review,29,Krasnoyarskiy Kray,Devyatka1,56.251100,93.531900,Krasnoyarskiy Kray,Zheleznogorsk,56.251100,93.531900,0.000,1,
review,30,Moskva,Dzerzhinskiy,55.629400,37.856500,Moskva,Dzerzhinsky,55.627400,37.858000,0.242,1,
review,31,Permskiy Kray,Ferma1,57.901600,56.306400,Permskiy Kray,Ferma,57.901600,56.306400,0.000,1,
review,32,Dagestan,Geba,42.215300,47.392700,Dagestan,Giba,42.215800,47.393300,0.074,1,
review,33,Saint Petersburg City,Izhorski,59.800000,30.600000,Saint Petersburg City,Ust-izhora,59.811900,30.581400,1.683,3,
review,34,Astrakhan',Kapustin Yar-1,48.584200,45.733800,Astrakhan',Kapustin Yar,48.581800,45.744800,0.852,2,
review,35,Khabarovsk,Khabarovsk,48.480800,135.092800,Khabarovsk,Habarovsk,48.482700,135.083800,0.696,1,
review,36,Smolensk,Khoroshevo,54.002200,32.700600,Smolensk,Khoroshëvo,54.001700,32.696800,0.254,1,
review,37,Orel,Khoroshevskiy,52.568900,36.510600,Orel,Khoroshëvskiy,52.574400,36.523400,1.059,1,
review,38,Volgograd,Kiselëv,48.869200,42.800300,Volgograd,Kiselev,48.871900,42.796900,0.390,1,
review,39,Stavropol',Kislovodsk,43.913300,42.720800,Stavropol',Kislovodskaya,43.933300,42.733300,2.439,3,
review,40,Vladimir,Klyuchëvo,55.987400,42.190700,Vladimir,Klyuchevo,55.983300,42.183300,0.648,1,
review,41,Novosibirsk,Kochenëvo,55.021800,82.202000,Novosibirsk,Kochenevo,55.021700,82.193300,0.555,1,
review,42,Permskiy Kray,Kolchug1,60.401700,56.162500,Permskiy Kray,Kolchug,60.401700,56.162500,0.000,1,
review,43,Moskva,Korenevo,55.666700,38.000000,Moskva,Korenëvo,55.671900,38.007800,0.757,1,
review,44,Moskva,Korolev,55.914200,37.825600,Moskva,Korolyov,55.917300,37.817900,0.591,2,
review,45,Smolensk,Korolëva,54.713300,32.320900,Smolensk,Koroleva,54.717200,32.320300,0.435,1,
review,46,Permskiy Kray,Kueda1,56.431100,55.588600,Permskiy Kray,Kueda,56.431100,55.588600,0.000,1,
review,47,Kirov,Kumeny,58.103300,49.909700,Kirov,Kumëny,58.108900,49.916100,0.727,1,
review,48,Permskiy Kray,Kungur1,57.436800,56.959300,Permskiy Kray,Kungur,57.436800,56.959300,0.000,1,
review,49,Permskiy Kray,Laki1,58.333300,57.633300,Permskiy Kray,Laki,58.333300,57.633300,0.000,1,
review,50,Ul'yanovsk,Lava,54.479900,46.899700,Ul'yanovsk,Elita,54.472900,46.860100,2.674,3,
review,51,Yevrey,Leninskoe,47.935300,132.624200,Yevrey,Leninskoye,47.935000,132.620300,0.292,1,
review,52,Volgograd,Linëvo,50.888500,44.830800,Volgograd,Linevo,50.883300,44.816700,1.146,1,
review,53,Leningrad,Lyuban,59.350000,31.216700,Leningrad,Ljuban,59.350000,31.250000,1.888,1,
review,54,Bryansk,Malev,53.183300,31.716700,Bryansk,Malëv,53.180100,31.725700,0.697,1,
review,55,Moskva,Malino,55.112000,38.173800,Moskva,Marino,55.100000,38.200000,2.135,1,
review,56,Orel,Mikhnëvo,53.535300,36.043900,Orel,Mikhnevo,53.533300,36.050000,0.460,1,
review,57,Krasnoyarskiy Kray,Minsk1,57.098900,93.333700,Krasnoyarskiy Kray,Minsk,57.098900,93.333700,0.000,1,
review,57,Krasnoyarskiy Kray,Minsk1,57.098900,93.333700,Krasnoyarskiy Kray,Minskaya,57.097600,93.337700,0.282,3,
review,58,Primor'ye,Nakhodka,42.833300,132.894700,Primor'ye,Nahodka,42.813800,132.873500,2.773,1,
review,59,Moskva,Nemchinovka,55.722900,37.360900,Moskva,Nemchinovo,55.726400,37.355800,0.503,2,
review,60,Kirov,Nolinsk,57.559600,49.936300,Kirov,Novik,57.550000,49.933300,1.082,3,
review,61,Novgorod,Novosël,57.449200,33.215900,Novgorod,Novosel,57.447500,33.213100,0.253,1,
review,62,Permskiy Kray,Ocher,57.883300,54.700000,Permskiy Kray,Ochër,57.890300,54.720200,1.425,1,
review,63,Tula,Odoyev,53.937800,36.686100,Tula,Odoev,53.939300,36.686400,0.168,1,
review,64,Sakhalin,Oleniy,49.450000,143.300000,Sakhalin,Oren,49.450100,143.297900,0.152,3,
review,65,Orel,Orël,52.965100,36.078500,Orel,Orel,52.965800,36.080300,0.143,1,
review,66,Sverdlovsk,Pervouralsk,56.905300,59.943600,Sverdlovsk,Pervouralskiy,56.909200,59.954400,0.786,2,
review,67,Saint Petersburg City,Peterhof,59.883300,29.900000,Saint Petersburg City,Petrodvorets,59.879700,29.902600,0.426,1,
review,68,Novosibirsk,Plotnikova,54.600000,82.216700,Novosibirsk,Plotnikovo,54.595600,82.222400,0.612,1,
review,69,Permskiy Kray,Proriv1,59.518900,56.323500,Permskiy Kray,Proryv,59.518900,56.323500,0.000,2,
review,70,Volgograd,Rogachev,50.666700,42.400000,Volgograd,Rogachëv,50.673700,42.418800,1.537,1,
review,71,Moskva,Rogachevo,55.383300,38.066700,Moskva,Rogachëvo,55.393900,38.058600,1.285,1,
review,72,Vologda,Rubezh,60.833300,37.016700,Vologda,Rubez,60.844000,37.025600,1.284,1,
review,73,Novosibirsk,Ryazanskiy,56.003500,78.925400,Novosibirsk,Ryazansk,56.003600,78.921900,0.218,2,
review,74,Nizhegorod,Semenov,56.796100,44.493100,Nizhegorod,Semënov,56.787500,44.493000,0.956,1,
review,75,Volgograd,Semënov,47.920300,42.654800,Volgograd,Semenov,47.919400,42.652800,0.180,1,
review,76,Orenburg,Sharypovo,51.366700,58.533300,Orenburg,Sharypka,51.363400,58.522000,0.866,3,
review,77,Moskva,Shelkovo,55.066700,37.716700,Moskva,Shëlkovo,55.065300,37.719500,0.237,1,
review,78,Leningrad,Siverskiy,59.354400,30.078300,Leningrad,Siverskaya,59.350000,30.066700,0.820,2,
review,79,Novosibirsk,Sokolova,55.198300,82.563900,Novosibirsk,Sokolovo,55.198900,82.564900,0.092,1,
review,80,Novosibirsk,Tolmachëvo,54.982400,82.736300,Novosibirsk,Tolmachevo,54.982200,82.735000,0.086,1,
review,81,Moscow City,Troparëvo,55.656300,37.485000,Moscow City,Troparevo,55.650000,37.483300,0.709,1,
review,82,Volgograd,Tsarëv,48.663200,45.371400,Volgograd,Tsarev,48.668300,45.372500,0.573,1,
review,82,Volgograd,Tsarëv,48.663200,45.371400,Volgograd,Saray,48.668200,45.367400,0.629,3,
review,83,Krasnoyarskiy Kray,Tyra,64.283300,100.250000,Krasnoyarskiy Kray,Tura,64.283300,100.250000,0.000,1,
review,84,Volgograd,Uryupinsk,50.804700,42.013800,Volgograd,Urjupinsk,50.783300,42.000000,2.570,1,
review,85,Primor'ye,Valentin,43.121100,134.299100,Primor'ye,Valentina,43.121400,134.303600,0.367,1,
review,86,Novgorod,Vasilëva,57.208500,31.356700,Novgorod,Vasileva,57.208600,31.356400,0.021,1,
review,87,Tula,Venev,54.352800,38.271700,Tula,Venëv,54.355300,38.268400,0.351,1,
review,88,Sakha,Vilyuysk,63.755300,121.624700,Sakha,Vilyuisk,63.746800,121.633400,1.037,1,
review,89,Chelyabinsk,Vishnevogorsk,55.994700,60.654400,Chelyabinsk,Vishnëvogorsk,55.991300,60.657900,0.436,1,
review,90,Moskva,Volokolamsk,56.039000,35.957000,Moskva,Volokolamskiy,56.022700,35.940900,2.070,2,
review,91,Khabarovsk,Vyazemskaya,47.537800,134.752500,Khabarovsk,Vyazemskiy,47.537600,134.755600,0.234,2,
review,92,Tver',Vyshniy Volochek,57.582500,34.557200,Tver',Vyshniy Volochëk,57.591200,34.564500,1.061,1,
review,93,Murmansk,Zaozersk,69.398100,32.437800,Murmansk,Zaozërsk,69.400500,32.447600,0.467,1,
review,94,Tver',Zelënaya,56.502800,33.483900,Tver',Zelenaya,56.503100,33.481100,0.175,1,
review,95,Saratov,Zelënyy,50.306700,48.408400,Saratov,Zelenyy,50.300000,48.400000,0.954,1,
review,96,Altaisky krai,Zonalnoye,52.666700,84.950000,Altaisky krai,Zonalnaya,52.666500,84.933100,1.140,2,
review,97,Volgograd,Zotov,49.083300,44.233300,Volgograd,Fastov,49.074100,44.208100,2.101,3,
review,98,Krym,Armyansk,46.109200,33.692100,Krym,Armjansk,46.107500,33.696900,0.416,1,
review,99,Krym,Kirovskoye,45.233300,35.216700,Krym,Kirovske,45.229700,35.199900,1.375,2,
