sample	wall_ns	service	config	pid	tid	thread_name	pool	runtime_ns	wait_ns	timeslices	affinity	current_cpu
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51040	jemalloc_bg_:c1	jemalloc_bg_	44984907664	11357895049	20376	1	1
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51042	fast-schedu:c44	fast-schedu	4197109891428	22795599292419	66383581	44	44
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51043	task-runner:c49	task-runner	15510884817	5983863826	4839	49	49
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51045	ub-grpc-p:c17	ub-grpc-p	9856025942797	36865931295228	194851307	17	17
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51046	ub-grpc-p:c36	ub-grpc-p	9635934285723	37173604844666	192230782	36	36
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51047	ub-grpc-p:c37	ub-grpc-p	11283093135022	32362624603726	212152752	37	37
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51048	jemalloc_bg_:c2	jemalloc_bg_	48766369732	16450364877	20486	2	2
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51049	ub-grpc-p:c39	ub-grpc-p	10068884028377	35575324599961	197268416	39	39
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51050	rdb-batch:c13	rdb-batch	19118713324113	21800916330608	87819494	13	13
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51051	rdb-batch:c14	rdb-batch	21874464421710	19059556508284	93022223	14	14
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51052	ub-grpc-p:c41	ub-grpc-p	9889864782855	34824338313281	199181969	41	41
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51053	rdb-batch:c15	rdb-batch	19244595876117	22213040463013	88318531	15	15
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51054	ub-grpc-p:c40	ub-grpc-p	11044160593737	32409244122316	210836977	40	40
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51055	rdb-batch:c16	rdb-batch	21613562638397	19861854495944	92333221	16	16
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51056	rdb-batch:c17	rdb-batch	16253355708767	28210568261829	84439710	17	17
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51057	ub-grpc-p:c42	ub-grpc-p	11642152517641	33210296172491	208817826	42	42
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51058	ub-grpc-p:c38	ub-grpc-p	10864584604483	34196631435493	204125997	38	38
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51059	jemalloc_bg_:c3	jemalloc_bg_	63866167592	9544343672	20796	3	3
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51060	rdb-batch:c36	rdb-batch	15360314087964	28044367991008	83813636	36	36
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51061	rdb-batch:c37	rdb-batch	18272674223323	23610716274113	90462935	37	37
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51062	jemalloc_bg_:c4	jemalloc_bg_	66527104186	7429416102	20727	4	4
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51063	grpc_global:c15	grpc_global	3664786121	70528148246	96102	15	15
0	1789479137117764864	UserBindServer	/opt/foros/server/etc/targetrtb/adcluster/adfe102/UserBindServer.xml	50989	51064	rdb-batch:c38	rdb-batch	17042984595885	25609772278737	86767704	38	38
